%%%%%%%%%%%%%%%%%%%%
% Data-Description %
%%%%%%%%%%%%%%%%%%%%
%
%                       Syskill and Webert Web Page Ratings
% 
% Abstract
% 
%    This database contains the HTML source of web pages plus the ratings
%    of a single user on these web pages. The web pages are on four
%    seperate subjects (Bands- recording artists; Goats; Sheep; and
%    BioMedical)
% 
% Data Type
% 
%    html web pages with user ratings
% 
% Sources
% 
%     Original Owner and Donor
% 
% [1]Michael Pazzani
% Department of Information and Computer Science,
% University of California, Irvine
% Irvine, CA 92697-3425
% [2]pazzani@ics.uci.edu
% 
%    Date Donated: October 20, 1998
% 
% Data Characteristics
% 
%    The HTML source of a web page is given. Users looked at each web page
%    and inidated on a 3 point scale (hot medium cold) 50-100 pages per
%    domain. However, this is realistic because we want to learn user
%    profiles from as few examples as possible so that users have an
%    incentitive to rate pages.
% 
% Data Format
% 
%    Each subject is in a seperate directory. Within each directory, there
%    is an file named "index". The index contains information on the other
%    files. Each entry is a line of the form:
%  file-name  |  rating  |  url  |  date-rated  |  title
% 
%    where file-name is the name of a file (usually an integer), rating is
%    hot, medium, or cold. There are so few medium's that mediums are
%    usually merged with cold in experiments.
% 
%    The other fields aren't used in learning, but they are collected by
%    the interface for other purposes. They are the url of the html source,
%    the date rated and the title of the web oage.
% 
% Past Usage
% 
%    Pazzani M., Billsus, D. (1997). Learning and Revising User Profiles:
%    The identification of interesting web sites. Machine Learning 27,
%    313-331
% 
%    Pazzani, M., Muramatsu J., Billsus, D. (1996). [3]Syskill & Webert:
%    Identifying interesting web sites. Proceedings of the National
%    Conference on Artificial Intelligence, Portland, OR. [4]PDF
%      _________________________________________________________________
% 
% 
%     [5]The UCI KDD Archive
%     [6]Information and Computer Science
%     [7]University of California, Irvine
%     Irvine, CA 92697-3425
% 
%    Last modified: July 12, 1999
% 
% References
% 
%    1. http://www.ics.uci.edu/~pazzani
%    2. mailto:pazzani@ics.uci.edu
%    3. http://www.ics.uci.edu/~pazzani/RTF/AAAI.html
%    4. http://www.ics.uci.edu/~pazzani/Publications/aaai-webert.pdf
%    5. http://kdd.ics.uci.edu/
%    6. http://www.ics.uci.edu/
%    7. http://www.uci.edu/
%%%%%%%%%%%%%%%%%%%%
% Task-Description %
%%%%%%%%%%%%%%%%%%%%
%                       Syskill and Webert Web Page Ratings
% 
% Task Type
% 
%    classification
% 
% Sources
% 
%     Donor
% 
% [1]Michael Pazzani
% Department of Information and Computer Science,
% University of California, Irvine
% Irvine, CA 92697-3425
% [2]pazzani@ics.uci.edu
% 
%    Date Donated: October 20, 1998
% 
% Problem Description
% 
%    The problem is to predict user ratings for web pages (within a subject
%    category). The HTML source of a web page is given. Users looked at
%    each web page and inidated on a 3 point scale (hot medium cold) 50-100
%    pages per domain. However, this is realistic because we want to learn
%    user profiles from as few examples as possible so that users have an
%    incentitive to rate pages.
% 
%    The accuracy of predicting ratings is reported in early publications.
%    Later publications used the precision at top N or the F-measure.
% 
% Results
% 
%    The initially study compared traditional meachine learning methods
%    with IR methods. A variety of learning algorithms worked acceptably,
%    including naive bayes, nearest neighbor, and Rocchio's method
% 
%    Pazzani M., Billsus, D. (1997). Learning and Revising User Profiles:
%    The identification of interesting web sites. Machine Learning 27,
%    313-331
% 
%    Pazzani, M., Muramatsu J., Billsus, D. (1996). [3]Syskill & Webert:
%    Identifying interesting web sites. Proceedings of the National
%    Conference on Artificial Intelligence, Portland, OR. [4]PDF
%      _________________________________________________________________
% 
% 
%     [5]The UCI KDD Archive
%     [6]Information and Computer Science
%     [7]University of California, Irvine
%     Irvine, CA 92697-3425
% 
%    Last modified: July 12, 1999
% 
% References
% 
%    1. http://www.ics.uci.edu/~pazzani
%    2. mailto:pazzani@ics.uci.edu
%    3. http://www.ics.uci.edu/~pazzani/RTF/AAAI.html
%    4. http://www.ics.uci.edu/~pazzani/Publications/aaai-webert.pdf
%    5. http://kdd.ics.uci.edu/
%    6. http://www.ics.uci.edu/
%    7. http://www.uci.edu/
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%

@relation SyskillWebert-Sheep

@attribute id STRING
@attribute text STRING
@attribute class {cold,hot}

@data
1,'[dallsheep.gif] ..|.. [1]The Alaskan Center Home Page ..|.. [2]Outdoors Adventures ..|.. [3]The Alaskan Mall References 1. http://alaskan.com/ 2. http://alaskan.com/outdoors.html 3. http://alaskan.com/mallist.html',hot
2,'[sheep4.jpg] Douglas E. Hogue [sheep4.jpg] [hogue.jpg] Two limitations of sheep production are the reproductive rates of ewes and the seasonality of production. The [1]STAR sheep management system has been developed to help solve these two problems. It is a systematic schedule with 5 lambing periods evenly spaced throughout the year for continuity of production. Each ewe can lamb 5 times in 3 years or 1.67 times a year for increased production. Coupling this increase in lambing frequency with an increased lambing rate, we are now realizing an annual lamb production of about 3 lambs per ewe. The [2]STAR was developed by Brian Magee, Cornell Sheep Farm Manager, and the figure depicts the [3]STAR as we use it. References 1. http://128.253.135.85/webimages/star2s.gif 2. http://128.253.135.85/webimages/star2s.gif 3. http://128.253.135.85/webimages/star2s.gif',hot
3,'Poker Flat Research Range: Sheep Creek Field Site [ISONDE.JPG] The ionosonde. The Sheep Creek Field Site is located on Murphy Dome Road northwest of Fairbanks, and has been used for various radio physics observations. At present, the site includes a digital ionosonde operated by the U.S. Air Force. A lidar operated by [1]Nagoya University is also run from this site. [2][ISMAP:MENUBAR.GIF] References 1. http://www.nagoya-u.ac.jp/index-e.html 2. file://localhost/cgi-bin/imagemap/menubar',cold
4,'[sheep.jpg] RainDog _________________________________________________________________ The Sounds [1]Rockin in the Free World at the CHS Talent Show .....[2]a brief version of the above Original Noise _________________________________________________________________ The Men Behind the Sound References 1. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/rockin.wav 2. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/rocksh.wav',cold
5,'RE: Hampshire sheep Follow-Up posted by Nancy Kavazanjian ([1]NKavy@AOL.com) on Wednesday, October 25 at 09:35 AM CST Follow-Up: I have a small flock of Hamps. Presently Nine ewes of breeding age and 3 spring lambs. Kids show them for 4-H. I\'m in Wisconsin. How about you? _________________________________________________________________ 20newsgroups.sh CorelFeatures.sh JapaneseVowels.sh Makefile SyskillWebert.sh UNIX_user_data.sh auslan.sh auslan2.sh census-income.sh census1990.sh coil.sh covertype.sh eeg.sh el_nino.sh internet_usage.sh ipums.sh kddcup98.sh kddcup99.sh msweb.sh nsfabs.sh robotfailure.sh synthetic.sh synthetic_control.sh [2]Back to the top of Livestock.@g Online 20newsgroups.sh CorelFeatures.sh JapaneseVowels.sh Makefile SyskillWebert.sh UNIX_user_data.sh auslan.sh auslan2.sh census-income.sh census1990.sh coil.sh covertype.sh eeg.sh el_nino.sh internet_usage.sh ipums.sh kddcup98.sh kddcup99.sh msweb.sh nsfabs.sh robotfailure.sh synthetic.sh synthetic_control.sh [3]Back to the Original Message 20newsgroups.sh CorelFeatures.sh JapaneseVowels.sh Makefile SyskillWebert.sh UNIX_user_data.sh auslan.sh auslan2.sh census-income.sh census1990.sh coil.sh covertype.sh eeg.sh el_nino.sh internet_usage.sh ipums.sh kddcup98.sh kddcup99.sh msweb.sh nsfabs.sh robotfailure.sh synthetic.sh synthetic_control.sh [4]Back to the list of Discussion Groups References 1. mailto:NKavy@AOL.com 2. http://www.agriculture.com/agtalk/Livestock/index.html 3. http://www.agriculture.com/agtalk/Livestock/messages/17224.html 4. http://www.agriculture.com/agtalk/agtalk.html',hot
6,'[1]Previous item [2]Up One Level [3]Next item [4]Help Sheep UF [5]Lambs [6]Mountain sheep [7]Rams BT [8]Animals RT [9]Musk oxen [10]Sheep ranches [11]Sheep shearing [12]Shepherds _________________________________________________________________ [13][CoOL] [14][Search all CoOL documents] [15][Feedback] This page last changed: April 25, 1996 References 1. file://localhost/research/ml/datasets/uci/raw/output/lc/lc04896.html 2. file://localhost/research/ml/datasets/uci/raw/output/toc/toc1.html 3. file://localhost/research/ml/datasets/uci/raw/output/lc/lc04898.html 4. file://localhost/research/ml/datasets/uci/raw/output/fm/fm-help.html 5. file://localhost/research/ml/datasets/uci/raw/output/lc/lc02941.html 6. file://localhost/research/ml/datasets/uci/raw/output/lc/lc03496.html 7. file://localhost/research/ml/datasets/uci/raw/output/lc/lc04471.html 8. file://localhost/research/ml/datasets/uci/raw/output/lc/lc00177.html 9. file://localhost/research/ml/datasets/uci/raw/output/lc/lc03551.html 10. file://localhost/research/ml/datasets/uci/raw/output/lc/lc04898.html 11. file://localhost/research/ml/datasets/uci/raw/output/lc/lc04899.html 12. file://localhost/research/ml/datasets/uci/raw/output/lc/lc04908.html 13. file://localhost/ 14. file://localhost/Architext/AT-cool_allquery.html 15. file://localhost/common/feedback.html',hot
7,'Black Sheep Wall A&M, October 1989 cover 1. Black Sheep Wall (4:20) 2. [1]Broken Circle (Acoustic) (3:21) 3. [2]Notebook (Acoustic) (4:39) Known Formats UK (AM563) 7\" (1,2) UK (AMX563) 10\" (1,2,3) UK (AMCD563) CD (1,2,3) US (CD17875) CD (1) US (SP17801) 12\" (1,2,3) AU (?) 7\" (1,2) _________________________________________________________________ This is how I love you: I wish for a shade I can pull I feel so afraid of watching you grow up This love hurts to much And I try and build a wall So I don\'t have to see you fall And I pray Go away from my thoughts! Why do you keep coming back Over Black Sheep Wall? Oh, I\'d love to hold you close But I play it cool And keep my thoughts in a jar Marked \"dangerous\" And everyone says, \"Never fear - All boys his age experiment with their lives\" But my eyes want to close you out I\'ll close you out Why do you keep coming back Over Black Sheep Wall? Brother Black Sheep, love is strong There\'s a shepherd out in every storm And he\'s not afraid of a little rain Why am I? Why do I keep building up This Black Sheep Wall? Oh, I love you so! Do you really know how much How deep? Black Sheep This is how I love you: With closed eyes With turned back With distance _________________________________________________________________ [3]\"Innocence Mission\" ¤ [4]Discography ¤ [5]Innocence Mission ¤ [6]Tony ¤ [7]NIWEB ¤ ¤ [8]comment References 1. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/circle.html 2. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/notebook.html 3. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/innmiss.html 4. file://localhost/research/ml/datasets/uci/raw/output/ucikdd/discog.html 5. file://localhost/tony/IM 6. file://localhost/tony/ 7. file://localhost/ 8. file://localhost/tony/comment.html',cold
10,'[an_sheep.gif] Sheep Research at Animal Science _________________________________________________________________ We are currently in the process of creating these pages, which will detail the research of the people in this this department who are involved in sheep. ____________________________________________________ [redb.gif] Faculty [redb.gif] Current Research [redb.gif] Related Internet Links 20newsgroups.sh CorelFeatures.sh JapaneseVowels.sh Makefile SyskillWebert.sh UNIX_user_data.sh auslan.sh auslan2.sh census-income.sh census1990.sh coil.sh covertype.sh eeg.sh el_nino.sh internet_usage.sh ipums.sh kddcup98.sh kddcup99.sh msweb.sh nsfabs.sh robotfailure.sh synthetic.sh synthetic_control.sh [1]Oklahoma State University\'s Sheep Pages ____________________________________________________ References 1. http://www.okstate.edu/~animsci/breeds/sheep/sheep.html',hot
11,'[ars.gif] Sheep Genome Mapping Project Services available for Sheep Genome Project: [1]Calendar - Calendar [2]diagram.test - Test GIF Diagram References 1. file://localhost/cgi-bin/date 2. file://localhost/genome/sheep/diagrams/diagram.gif',cold
12,'________________________________________________________ The Sheep Home Page - Baaaaa! ________________________________________________________ [HowEwe.gif] Sheep, sheep sheep, we love you!! If it weren\'t for sheep, we\'d have no sweaters or lamb chops! Sheep are warm and fuzzy, and make wonderful companions!! _________________________________________________________________ Entertainment [PlayBillSheep.gif] __________________________________________ Hear people making sheep noises: 20newsgroups.sh CorelFeatures.sh JapaneseVowels.sh Makefile SyskillWebert.sh UNIX_user_data.sh auslan.sh auslan2.sh census-income.sh census1990.sh coil.sh covertype.sh eeg.sh el_nino.sh internet_usage.sh ipums.sh kddcup98.sh kddcup99.sh msweb.sh nsfabs.sh robotfailure.sh synthetic.sh synthetic_control.sh [1]Henry 20newsgroups.sh CorelFeatures.sh JapaneseVowels.sh Makefile SyskillWebert.sh UNIX_user_data.sh auslan.sh auslan2.sh census-income.sh census1990.sh coil.sh covertype.sh eeg.sh el_nino.sh internet_usage.sh ipums.sh kddcup98.sh kddcup99.sh msweb.sh nsfabs.sh robotfailure.sh synthetic.sh synthetic_control.sh [2]Greg 20newsgroups.sh CorelFeatures.sh JapaneseVowels.sh Makefile SyskillWebert.sh UNIX_user_data.sh auslan.sh auslan2.sh census-income.sh census1990.sh coil.sh covertype.sh eeg.sh el_nino.sh internet_usage.sh ipums.sh kddcup98.sh kddcup99.sh msweb.sh nsfabs.sh robotfailure.sh synthetic.sh synthetic_control.sh [3]Sue 20newsgroups.sh CorelFeatures.sh JapaneseVowels.sh Makefile SyskillWebert.sh UNIX_user_data.sh auslan.sh auslan2.sh census-income.sh census1990.sh coil.sh covertype.sh eeg.sh el_nino.sh internet_usage.sh ipums.sh kddcup98.sh kddcup99.sh msweb.sh nsfabs.sh robotfailure.sh synthetic.sh synthetic_control.sh [4]Eric __________________________________________ [5] Link to Real Sheep Noises __________________________________________ Links to other Sheep Sites on the Web 20newsgroups.sh CorelFeatures.sh JapaneseVowels.sh Makefile SyskillWebert.sh UNIX_user_data.sh auslan.sh auslan2.sh census-income.sh census1990.sh coil.sh covertype.sh eeg.sh el_nino.sh internet_usage.sh ipums.sh kddcup98.sh kddcup99.sh msweb.sh nsfabs.sh robotfailure.sh synthetic.sh synthetic_control.sh [6]Small Ruminants Page 20newsgroups.sh CorelFeatures.sh JapaneseVowels.sh Makefile SyskillWebert.sh UNIX_user_data.sh auslan.sh auslan2.sh census-income.sh census1990.sh coil.sh covertype.sh eeg.sh el_nino.sh internet_usage.sh ipums.sh kddcup98.sh kddcup99.sh msweb.sh nsfabs.sh robotfailure.sh synthetic.sh synthetic_control.sh [7]Clip Art Sheep 20newsgroups.sh CorelFeatures.sh JapaneseVowels.sh Makefile SyskillWebert.sh UNIX_user_data.sh auslan.sh auslan2.sh census-income.sh census1990.sh coil.sh covertype.sh eeg.sh el_nino.sh internet_usage.sh ipums.sh kddcup98.sh kddcup99.sh msweb.sh nsfabs.sh robotfailure.sh synthetic.sh synthetic_control.sh [8]Monty Python\'s Flying Circus Flying Sheep Skit 20newsgroups.sh CorelFeatures.sh JapaneseVowels.sh Makefile SyskillWebert.sh UNIX_user_data.sh auslan.sh auslan2.sh census-income.sh census1990.sh coil.sh covertype.sh eeg.sh el_nino.sh internet_usage.sh ipums.sh kddcup98.sh kddcup99.sh msweb.sh nsfabs.sh robotfailure.sh synthetic.sh synthetic_control.sh [9]Kansas Sheep 20newsgroups.sh CorelFeatures.sh JapaneseVowels.sh Makefile SyskillWebert.sh UNIX_user_data.sh auslan.sh auslan2.sh census-income.sh census1990.sh coil.sh covertype.sh eeg.sh el_nino.sh internet_usage.sh ipums.sh kddcup98.sh kddcup99.sh msweb.sh nsfabs.sh robotfailure.sh synthetic.sh synthetic_control.sh New !! [10]Sheep Calculator _________________________________________________________________ Have Fun!! Play the [11]Sheep Game _________________________________________________________________ Career Opportunities [SheepCareer.gif] [12]An unsolicited TRUE story from a recent Graduate in his own words _________________________________________________________________ [13] Religion & Sheep _________________________________________________________________ Like this page, tell [14]Henry [HenryOnDuck.gif] , this was his idea And no, Henry is not a professional shepherd, he just acts as a volunteer in his spare time. And Henry has been known to lend a hand during the shearing season!! [15]Check out his New Haven Dancers page. _________________________________________________________________ Date of last update 12/10/95 [16]TTSW Home Page Problems with this site, e-mail [17]Webmaster@ttsw.com References 1. http://promland.com/Sheep/henry.au 2. file://localhost/HenrysSheep/gregsheep.au 3. file://localhost/HenrysSheep/SuesSheepSounds.au 4. file://localhost/HenrysSheep/EricsSheepSound.au 5. http://www.wmin.ac.uk/sounds/sheep1.au 6. http://netvet.wustl.edu/0n:smrum.htm|/ 7. http://www.cs.yale.edu/HTML/YALE/CS/HyPlans/loosemore-sandra/clipart.html 8. gopher://gopher.ocf.berkeley.edu/00/Library/Monty_Python/sheep 9. http://gateway.telecom.ksu.edu/ 10. http://stout.bull.com/~dodds/sheepask.html 11. file://localhost/HenrysSheep/SheepGame.html 12. file://localhost/HenrysSheep/GradStory.html 13. file://localhost/HenrysSheep/SheepInBible.html 14. mailto:hfarkas@ims.advantis.com 15. http://newstand.ims.advantis.com/henry/NewHavenDancers.html 16. file://localhost/research/ml/datasets/uci/raw/output/Default.html 17. mailto:Webmaster@ttsw.com',cold
