% This file contains 9 sets of sanitized user data drawn from the
% command histories of 8 UNIX computer users at Purdue over the course
% of up to 2 years (USER0 and USER1 were generated by the same person,
% working on different platforms and different projects).  The data is
% drawn from tcsh(1) history files and has been parsed and sanitized to
% remove filenames, user names, directory structures, web addresses,
% host names, and other possibly identifying items.  Command names,
% flags, and shell metacharacters have been preserved.  Additionally,
% **SOF** and **EOF** tokens have been inserted at the start and end of
% shell sessions, respectively.  Sessions are concatenated by date order
% and tokens appear in the order issued within the shell session, but no
% timestamps are included in this data.  For example, the two sessions:
% 
%         # Start session 1
%         cd ~/private/docs
%         ls -laF | more
%         cat foo.txt bar.txt zorch.txt > somewhere
%         exit
%         # End session 1
% 
%         # Start session 2
%         cd ~/games/
%         xquake &
%         fg
%         vi scores.txt
%         mailx john_doe@somewhere.com
%         exit
%         # End session 2
% 
% would be represented by the token stream
% 
%         **SOF**
%         cd
%         <1>                     # one "file name" argument
%         ls
%         -laF
%         |
%         more
%         cat
%         <3>                     # three "file" arguments
%         >
%         <1>
%         exit
%         **EOF**
%         **SOF**
%         cd
%         <1>
%         xquake
%         &
%         fg
%         vi
%         <1>
%         mailx
%         <1>
%         exit
%         **EOF**
% 
% 
% This data is made available under conditions of anonymity for the
% contributing users and may be used for research purposes only.
% Summaries and research results employing this data may be published,
% but literal tokens or token sequences from the data may not be
% published except with express consent of the originators of the data.
% No portion of this data may be released with or included in a
% commercial product, nor may any portion of this data be sold or
% redistributed for profit or as part of of a profit-making endeavor.
% 
% Please direct any questions regarding this data to Terran Lane:
% terran@ecn.purdue.edu.
% 
%
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%

@relation UNIX_user_data

@attribute history INTEGER
@attribute session STRING
@attribute user {USER0,USER1,USER2,USER3,USER4,USER5,USER6,USER7,USER8}

@data
0000,'whoami pwd ls dir vi source <1> source <1> exit',USER0
0001,'whereis <1> mkdir <1> vi <1> vi <1> ls source <1>',USER0
0002,'elm log',USER0
0003,'elm man <1> fg finger <1> | more finger <1> fg',USER0
0004,'elm logout',USER0
0005,'elm cd <1> ls vi <1> fg exit',USER0
0006,'elm logout',USER0
0007,'elm exit',USER0
0008,'elm log',USER0
0009,'cd <1> cd <1> ls vi <1> vi <1> exit',USER0
0010,'elm exit',USER0
0011,'lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> exit',USER0
0012,'elm',USER0
0013,'elm exit',USER0
0014,'elm cd <1> ls vi <1> fg vi <1> fg cd elm finger <1> finger <1> | more fg finger <1> finger <1> | more finger <1> | more fg finger <1> | more fg',USER0
0015,'ls more <1> exit',USER0
0016,'elm finger <1> fg finger <1> fg finger <1> fg finger <1> finger <1> finger <1> | more fg finger <1> | more date fg elm ls fg ls emacs <1> ls ls emacs <1> ls cat <1> rm <1> vi <1> vi <1> source <1> fg logout',USER0
0017,'cd <1> ls vi <1> exit',USER0
0018,'ls cd <1> ls mkdir <1> cd <1> ls vi <1> vi <1> exit',USER0
0019,'exit',USER0
0020,'ls uptime exit',USER0
0021,'ruptime exit',USER0
0022,'elm vi <1> more <1> fg finger <1> fg ls cd <1> ls cd <1> ls cd <1> vi <1> ls more <1> ls ls -a cd <1> ls <1> ls -R | grep <1> finger <1> talk <1> fg exit',USER0
0023,'whoami ls uptime netscape',USER0
0024,'who exit',USER0
0025,'elm uptime elm r <1>',USER0
0026,'setenv <2> ls more <1> rm <1> ls cd <1> ls cd <1> ls maker ruptime',USER0
0027,'elm finger <1> ruptime ruptime | more home fg elm',USER0
0028,'elm finger <1> finger <1> fg finger <1> finger <1> finger <1>',USER0
0029,'elm logout',USER0
0030,'ls cd <1> ls more <1> elm exit',USER0
0031,'elm exit',USER0
0032,'elm ls cd <1> ls vi <1> ls wc <1> ls wc <1> mv <2> ls rm <1> exit cd fg exit',USER0
0033,'ls ls <1> cd <1> ls vi <1> ls mv <2> mv <2> ll <1> cd whereis <1> <GENSYM:0>/vi <1> whereis <1> vi <1> exit',USER0
0034,'cd <1> cd <1> ls more <1> ls vi <1> <GENSYM:0>/vi <1> ls rm <1> exit',USER0
0035,'elm ls ll <1> fg elm exit',USER0
0036,'cd <1> ls vi <1> cls man <1> cls ls vi <1> ls',USER0
0037,'write <1> exit',USER0
0038,'setenv <2> cd <1> ls maker ls cd <1> ls cd ls cd <1> ls ghostview ls cd <1> ls cd <1> ls man <1> ls lp -dmsl21 -n15 <1> lpq lpq -dmsl21 lpq -Pmsl21 lpq -dmsl21 <1> cancel cancel -dmsl21 -uclin man <1> man <1> cancel -u <2> ghostview cancel -u <2> lpq -P <1> <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> ls cd <1> cd <1> ls <GENSYM:0>/vi <1> ls ls wc <1> cd <1> cd <1> ls wc <1> back back cd <1> ls ghostview exit',USER0
0039,'elm log',USER0
0040,'cancel -u <2> cancel -u <2> ls cd <1> lp -dmsl21 <1> cancel -u <2> lp -d <2> cancel -u <2> lwifo <1> lwinfo <1> ls lwinfo <1> lwinfo <1> back back cd <1> ls vi <1> ls <GENSYM:0>/vi <1> ls mv <2> ls mv <2> vi <1> <GENSYM:0>/vi <1> source <1> vi <1> more <1> alias <1> source <1> more <1> unalias <1> ls vi <1> ls fbear ls finger <1> finger <1> | more finger <1> | more vi <1> source <1> finger <1> finger <1> ls cp <2> vi <1> cancel -u <2> exit',USER0
0041,'setenv <2> cd <1> ls vi <1> ls vi <1> ls vi <1> ls lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> ls cancel -u <2> lp -dmsl22 <1> lp -dmsl22 <1> lpq -Pmsl22 lpq -Pmsl23 cancel -u <2> lpq -Pmsl22 lwinfo <1> lwpages cancel -u <2> vi <1> lp -dmsl23 <1> cancel -u <2> lpq -Pmsl23 lpq -Pmsl22 lpq -Pmsl21 lwpages lp -dmsl21 <1> cancel -u <4> > <1> <GENSYM:1> <1> cancel -u <2> lpinfo <1> lwinfo <1> ls more <1> ls ll date rm <1> lwpages ls vi <1> lp -dmsl21 <1> vi <1> ls vi <1> ls cd <1> ls cd <1> ls vi <1> vi <1> ls back lwinfo <1> ls cd <1> cd <1> cd <1> ls vi <1> lp -dmsl21 <1> lpq -Pmsl21 ghostview <1>',USER0
0042,'elm lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lpq -Pmsl23 cancel -u <2> cancel -uclin <1> lpq -Pmsl22 lpq -Pmsl23 cancel -u cancel -u <1> man <1> ls lpq -Pmsl23 cancel <2> cd <1> ls vi <1> ls lwpages <1> lwinfo <1> lwinfo <1> lwpages ls vi <1> lp -dmsl21 <1> cd <1> ls ll ll <1> more <1> vi <1> ll <1> vi <1> lwinfo <1> ls lwinfo <1> vi <1> lwinfo <1> back back lp -dmsl21 <1> back lp -dmsl21 <1> back lwpages ls rm <1> rm <1> lp -dmsl21 -n9 <1> lpq -Pmsl21 lwinfo <1> lpq -Pmsl21 lpq -Pmsl22 finger <1> cls ls cd <1> ls cd <1> ls mv <2> vi <1> ls fg lwinfo <1> lwpages back cd <1> ls lp -dmsl21 -n2 <1> fg',USER0
0043,'setenv <2> ls cd <1> maker ls ls ls ls vi <1>',USER0
0044,'finger <1> finger <1> ls vi <1> jarman jarman finger <1> exit',USER0
0045,'jarman elm finger <1> cd <1> ls dodo ls vi <1> vi <1> diff <2> ls mv <2> fg cd <1> cd <1> ls cd <1> cd <1> ls cd <1> cd <1> ls cd <1> ls cd <1> cd <1> ls <1> cd <1> cd <1> ls cd cd <1> cd fg log',USER0
0046,'vi <1> finger <1> | more exit',USER0
0047,'elm finger <1> logout',USER0
0048,'elm',USER0
0049,'elm logout',USER0
0050,'elm fg finger <1> finger <1> finger <1> fg finger <1> rloign <1> rlogin <1> ls ll <1> rm <1> rm <1> ls more <1> rm <1> fg ext exit',USER0
0051,'finger <1> finger <1> ftp <1> finger <1> finger <1> finger <1> exit',USER0
0052,'exit',USER0
0053,'elm exit',USER0
0054,'elm exit',USER0
0055,'elm exit',USER0
0056,'more <1> more <1> finger <1> cd <1> ls cp <2> emacs <1> <GENSYM:0>/vi <1> exit',USER0
0057,'elm r <1> exit',USER0
0058,'elm logout',USER0
0059,'elm',USER0
0060,'elm ls cd <1> ls vi <1> <GENSYM:0>/vi <1> dodo <GENSYM:0>/vi <1> ls more <1> ls fg elm logout',USER0
0061,'elm r <1> exit',USER0
0062,'elm',USER0
0063,'cd <1> ls lwinfo <1> lp -dmsl23 <1> lpq -Pmsl23 lp -dmsl21 <1> lpq -Pmsl23 lpq -Pmsl21 ftp <1> ruptime uptime ruptime | more wc <1> more <1>',USER0
0064,'lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwpages quit exit',USER0
0065,'elm elm vi <1> finger <1> finger <1> elm elm uptime uptime uptime uptime vi <1> exit',USER0
0066,'uptime elm elm ls rm <1> cd <1> ls vi <1>',USER0
0067,'elm finger <1> ps -ef | grep <1> ps -aux | grep <1> kill <1> kill <1> kill <1> finger <1> elm rm <1> elm cd <1> ls more <1> cd fg',USER0
0068,'elm rm <1> elm',USER0
0069,'ls alias <1> alias <1> alias alias | more lwinfo <1> enscript_msl21 <1> alias <1> rm <1> rm <1> ruptime ruptime | more finger <1> finger <1> ls',USER0
