% The multi-feature digit dataset
% -------------------------------
% 
% Oowned and donated by:
% ----------------------
% 
% Robert P.W. Duin
% Department of Applied Physics 
% Delft University of Technology 
% P.O. Box 5046, 2600 GA Delft
% The Netherlands
% 
% email: duin@ph.tn.tudelft.nl
% http : //www.ph.tn.tudelft.nl/~duin
% tel +31 15 2786143
% 
% Usage
% -----
% A slightly different version of the database is used in
% 
% M. van Breukelen, R.P.W. Duin, D.M.J. Tax, and J.E. den Hartog, Handwritten
%      digit recognition by combined classifiers, Kybernetika, vol. 34, no. 4,
%      1998, 381-386.
% 
% M. van Breukelen and R.P.W. Duin, Neural Network Initialization by Combined
%      Classifiers, in: A.K. Jain, S. Venkatesh, B.C. Lovell (eds.), ICPR'98,
%      Proc. 14th Int. Conference on Pattern Recognition (Brisbane, Aug. 16-20),
% 
% The database as it is is used in:
% 
% A.K. Jain, R.P.W. Duin, J. Mao, Statisitcal Pattern Recognition: A Review,
%      in preparation
% 
% Description
% -----------
% 
% This dataset consists of features of handwritten numerals (`0'--`9')
% extracted from a collection of Dutch utility maps. 200 patterns per
% class (for a total of 2,000 patterns) have been digitized in  binary
% images. These digits are represented in terms of the following six
% feature sets (files): 
% 
% 1. mfeat-fou: 76 Fourier coefficients of the character shapes; 
% 2. mfeat-fac: 216 profile correlations; 
% 3. mfeat-kar: 64 Karhunen-Love coefficients; 
% 4. mfeat-pix: 240 pixel averages in 2 x 3 windows; 
% 5. mfeat-zer: 47 Zernike moments; 
% 6. mfeat-mor: 6 morphological features. 
% 
% In each file the 2000 patterns are stored in ASCI on 2000 lines. The
% first 200 patterns are of class `0', followed by sets of 200 patterns
% for each of the classes `1' - `9'. Corresponding patterns in different
% feature sets (files) correspond to the same original character.
% 
% The source image dataset is lost. Using the pixel-dataset (mfeat-pix)
% sampled versions of the original images may be obtained (15 x 16 pixels).
% 
% Total number of instances:
% --------------------------
% 2000 (200 instances per class)
% 
% Total number of attributes:
% ---------------------------
% 649 (distributed over 6 datasets,see above)
% 
% no missing attributes
% 
% Total number of classes:
% ------------------------
% 10
% 
% Format:
% ------
% 6 files, see above.
% Each file contains 2000 lines, one for each instance.
% Attributes are SPACE separated and can be loaded by Matlab as
% > load filename
% No missing attributes. Some are integer, others are real.
% 
%
% Information about the dataset
% CLASSTYPE: nominal
% CLASSINDEX: last
%

@relation mfeat

@attribute att1 REAL
@attribute att2 REAL
@attribute att3 REAL
@attribute att4 REAL
@attribute att5 REAL
@attribute att6 REAL
@attribute att7 REAL
@attribute att8 REAL
@attribute att9 REAL
@attribute att10 REAL
@attribute att11 REAL
@attribute att12 REAL
@attribute att13 REAL
@attribute att14 REAL
@attribute att15 REAL
@attribute att16 REAL
@attribute att17 REAL
@attribute att18 REAL
@attribute att19 REAL
@attribute att20 REAL
@attribute att21 REAL
@attribute att22 REAL
@attribute att23 REAL
@attribute att24 REAL
@attribute att25 REAL
@attribute att26 REAL
@attribute att27 REAL
@attribute att28 REAL
@attribute att29 REAL
@attribute att30 REAL
@attribute att31 REAL
@attribute att32 REAL
@attribute att33 REAL
@attribute att34 REAL
@attribute att35 REAL
@attribute att36 REAL
@attribute att37 REAL
@attribute att38 REAL
@attribute att39 REAL
@attribute att40 REAL
@attribute att41 REAL
@attribute att42 REAL
@attribute att43 REAL
@attribute att44 REAL
@attribute att45 REAL
@attribute att46 REAL
@attribute att47 REAL
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.01103274,0.83146581,15.35180368,75.80655877,171.55421361,490.15655565,206.41602699,0.12213538,2.60164564,11.47270868,20.04341544,110.86830122,99.02527669,0.10059235,4.46582496,37.20367268,71.68269820,303.83300754,444.81873449,0.32429193,2.80821177,7.50553854,14.19932496,109.82053150,0.62308322,11.90259677,13.99288335,6.97255874,484.78487098,0.34474550,6.83661628,41.17286195,67.58321804,1.87559911,2.28040282,170.26576363,158.81841028,1.71352943,33.81034044,9.85891522,1.39989143,148.13805797,326.23945221,9.71107016,20.00724798,47.03257765,539.20845747,1
0.03827074,1.16674551,10.52691347,42.36927635,85.18711580,420.36056595,253.56957450,0.03365653,0.39056561,11.70083020,65.59601314,97.69104981,87.94641666,0.13695732,3.00524125,22.83722867,40.65687341,186.41168351,419.54306350,0.05492862,3.57632343,38.54688921,100.03478538,85.14561144,0.41420485,8.00674523,53.19139913,91.36731276,371.99440653,0.53126852,14.37651619,74.16904414,82.06344893,1.34874103,29.15873615,211.20029776,34.59725740,2.59020781,35.40053066,70.68189876,6.67441215,155.13598528,377.83267478,8.14063313,44.53671071,46.33895405,518.49656690,1
0.04269842,1.22500747,8.27380379,31.74478635,54.44817680,404.10320419,389.98074610,0.04173333,0.93739883,11.62904494,33.48150105,51.70588614,17.76037702,0.13811174,2.37639229,20.89210472,68.66667457,168.42073057,518.22996060,0.11311887,3.38060376,21.11927205,52.67556251,11.77417171,0.32819563,7.78121593,71.36995521,94.03994194,402.48281889,0.48256542,8.10180575,40.01297270,14.86945484,1.33651730,35.77289669,207.14709334,10.92466223,1.47628474,19.47723043,30.09358959,7.85821052,150.12641867,419.56574714,4.53092112,26.29216958,44.57482214,549.91269136,1
0.03241821,1.63824727,19.20528336,51.19668169,57.18175997,429.05201105,256.17464476,0.07362391,1.97326817,13.05710783,36.07944266,49.97873054,55.03717364,0.19032914,5.21241499,25.12827213,51.93708850,178.92386450,386.32421772,0.24513679,3.96307213,20.03687734,27.57063440,80.05454653,0.69283865,8.22611998,61.25743942,112.68859961,324.84975362,0.58362525,7.45304511,23.66720419,65.14869114,1.32625124,31.81299984,239.67299792,21.05474910,1.34961311,14.17951811,30.56408508,7.09772779,173.84075854,441.35037630,3.70602306,13.43231115,51.73992968,574.88781361,1
0.01586650,0.61156150,8.62783913,37.32505249,48.50902532,459.90963422,238.57276677,0.04647664,1.11729174,10.01216908,27.16926614,67.84986242,71.51243700,0.07684345,2.66071754,24.90142809,61.75036970,216.61517694,417.65885792,0.14495158,3.05574964,12.77538870,47.31222963,66.37701475,0.38470330,9.69548559,75.96331954,86.05021258,399.97521753,0.45241861,4.05596325,23.94669469,50.19202941,1.72148592,40.00379441,222.22763817,83.42188581,0.66797059,8.70540306,30.24247306,9.01571366,167.02118501,332.47999722,1.80627253,23.68930014,50.40776975,492.22751279,1
0.22978044,5.04207680,40.44284704,142.71837759,120.58660007,238.71347390,193.36303366,0.03155833,0.75416663,6.68935995,20.08792553,27.27373803,58.45536526,0.65234575,13.04622522,93.32424451,226.66384619,58.28889614,194.70458287,0.08758947,1.84276439,12.40728995,12.56867299,41.94201891,1.96176920,35.85314680,197.37892263,192.06998760,129.51385102,0.25224178,4.59290554,18.29813322,90.17250784,6.38236412,96.34937740,309.83545599,120.75162267,0.80841788,10.57078165,97.58119482,21.33530528,222.95724450,451.43260662,2.59280932,64.44868144,67.43199692,555.30433202,1
0.06838329,0.92908455,29.99590726,120.28591225,149.90677028,556.82163640,66.87300624,0.04904372,2.23291815,14.96306638,3.81809371,15.19358757,82.26174817,0.11318542,8.69698314,64.39432032,60.33579139,357.53714671,322.55625207,0.29232092,4.46991197,5.92765206,42.14280889,29.30505087,1.20889172,21.79642310,17.18843674,27.75701026,448.40079643,0.65171205,3.48448873,47.04068204,5.60316768,3.56391332,7.81936123,194.89121282,197.23781775,0.78781176,27.68934778,6.63712807,2.11043976,172.71373683,273.18674166,7.14426188,10.64254892,55.28310728,511.19453560,1
0.02940813,0.60821322,3.95445266,15.00777539,107.22379116,471.33571327,247.38045447,0.04469945,1.31860380,5.49053299,22.61436990,17.75729003,21.51216171,0.07061687,0.91435036,2.70257088,27.18589244,240.29764879,508.82690539,0.15648275,1.73635535,19.95500521,30.84654691,24.55058123,0.10685209,1.76254978,49.84642617,70.58100425,532.06784583,0.27377401,8.93869874,43.90606450,12.38674627,0.43166506,29.77667876,227.07164817,186.39162454,1.77526083,26.60441482,11.40940057,7.06244410,175.49897862,301.07802292,6.83916698,15.51580534,53.55112291,512.60358727,1
0.04945866,2.79979954,39.06342408,120.85058318,191.23956046,563.06157325,70.50745538,0.05509612,0.53938082,4.84698613,31.66964051,50.31474189,9.38896520,0.34853036,11.72814971,66.93098200,79.49705569,408.66517569,333.39964378,0.06600740,1.93993640,21.32555141,48.16941515,24.31490667,1.67248793,23.23477777,23.72474184,59.64469529,494.55891732,0.33590741,8.66156409,31.34682354,16.98669275,3.87112744,12.67258068,179.93163411,260.58317073,1.64580170,13.37263464,11.60986053,3.54420920,176.33327485,234.95656311,2.85191580,15.30469823,58.37469209,509.29157468,1
0.02901479,1.41468970,27.85415957,107.55452255,151.13712306,466.41916410,115.83116765,0.06031082,1.25953606,0.83579169,14.83610024,43.19084366,46.99197086,0.16402411,7.61569741,52.95859946,50.38387782,217.45307614,322.26563756,0.15655455,0.31524652,10.21791971,28.78850609,12.89130110,1.01515379,16.94578035,9.99851133,92.75718428,361.44159341,0.05485916,4.23760496,16.29361656,28.16973443,2.66597266,8.47113752,226.81886230,82.95699404,0.81167646,8.17032876,31.41856954,2.45840646,169.02291664,328.08788983,2.11994353,19.08945476,50.80404735,496.22548432,1
