User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration,Description,Date,Filename,Is on leaderboard?
ideal.intel.analytics,0.8265 (1),0.8187 (4),0.9630 (2),0.9038 (2),0.6046 (4),2.99 (377),2.60 (1),"Submission 24, cadata from 19, adults from 20, digits shrinkage=0.01, 15 iterations",2015-02-12 11:17:01+00:00,submission_ideal_data31.zip,True
ideal.intel.analytics,0.8265 (1),0.8187 (4),0.9625 (3),0.9038 (2),0.6046 (4),2.92 (407),2.80 (2),"Submission 24, cadata from 19, adults from 20",2015-02-11 10:38:58+00:00,submission_ideal_data28.zip,False
ideal.intel.analytics,0.8265 (1),0.8169 (5),0.9625 (3),0.9038 (2),0.6046 (4),3.02 (303),3.00 (3),"cadata var adjust rate 0.05, shrinkage 0.01, 10k iterations",2015-02-11 11:11:09+00:00,submission_ideal_data29.zip,False
ideal.intel.analytics,0.8265 (1),0.8164 (7),0.9625 (3),0.9038 (2),0.6046 (4),3.01 (352),3.40 (4),"Submission 24 as base, custom model for cadata, submission 20 for adult",2015-02-11 10:15:10+00:00,submission_ideal_data27.zip,False
ideal.intel.analytics,0.8265 (1),0.8160 (8),0.9625 (3),0.9038 (2),0.6046 (4),2.85 (455),3.60 (5),"cadata var adjust rate 0.05, shrinkage 0.01, 15k iterations",2015-02-12 07:32:34+00:00,submission_ideal_data30.zip,False
ideal.intel.analytics,0.8239 (7),0.8187 (4),0.9614 (6),0.8894 (3),0.6091 (1),2.94 (394),4.20 (6),"DFS, learning rate = 0.1",2015-01-13 18:28:26+00:00,submission_ideal_data19.zip,False
ideal.intel.analytics,0.8265 (1),0.8135 (12),0.9625 (3),0.9038 (2),0.6046 (4),3.00 (369),4.40 (7),"submission 24, for adult results from submission 20 are taken",2015-02-03 12:12:38+00:00,submission_ideal_data25.zip,False
igor.chikalov,0.8253 (3),0.8100 (14),0.9567 (8),0.8621 (7),0.6010 (5),3.04 (220),7.40 (8),digits: MART is used,2015-01-12 14:44:59+00:00,submission_ideal_data13.zip,False
igor.chikalov,0.8253 (3),0.8100 (14),0.9567 (8),0.8621 (7),0.6010 (5),2.85 (453),7.40 (8),digits & newspapers: number of iterations is increased to 6000,2015-01-12 16:14:25+00:00,submission_ideal_data14.zip,False
ideal.intel.analytics,0.8253 (3),0.8100 (14),0.9567 (8),0.8621 (7),0.6010 (5),8.24 (99),7.40 (8),MART & DFS for everything,2015-01-13 10:02:45+00:00,submission_ideal_data13.zip,False
ideal.intel.analytics,0.8253 (3),0.8100 (14),0.9567 (8),0.8621 (7),0.6010 (5),7.25 (100),7.40 (8),Learning rate changed to 0.3,2015-01-13 16:01:14+00:00,submission_ideal_data_16.zip,False
ideal.intel.analytics,0.8217 (16),0.8135 (12),0.9625 (3),0.9038 (2),0.6046 (4),3.02 (324),7.40 (8),"DFS, learning rate 0.3",2015-01-13 17:42:03+00:00,submission_ideal_data18.zip,False
ideal.intel.analytics,0.8209 (21),0.8164 (7),0.9625 (3),0.9038 (2),0.6046 (4),2.99 (378),7.40 (8),Custom model for cadata,2015-02-11 10:07:18+00:00,submission_ideal_data26.zip,False
ideal.intel.analytics,0.8209 (21),0.8135 (12),0.9625 (3),0.9038 (2),0.6046 (4),2.85 (454),8.40 (9),"varimp_update_rate=0.3, adult: 3000 iterations, learning rate 0.025",2015-01-15 12:19:35+00:00,submission_ideal_data23.zip,False
ideal.intel.analytics,0.8209 (21),0.8135 (12),0.9625 (3),0.9038 (2),0.6046 (4),3.03 (263),8.40 (9),Sparse data structures are used,2015-01-15 13:42:51+00:00,submission_ideal_data24.zip,False
ideal.intel.analytics,0.8248 (4),0.8011 (18),0.9578 (7),0.8570 (12),0.6075 (2),2.86 (450),8.60 (10),"DFS on, but learning rate = 0",2015-01-14 13:42:44+00:00,submission_ideal_data22.zip,False
ideal.intel.analytics,0.8218 (15),0.8141 (11),0.9623 (4),0.8576 (11),0.6057 (3),2.91 (409),8.80 (11),learning rate = 0.6,2015-01-14 12:49:33+00:00,submission_ideal_data21.zip,False
igor.chikalov,0.8253 (3),0.8100 (14),0.9483 (17),0.8621 (7),0.6010 (5),2.85 (456),9.20 (12),Hand tuned model for cadata,2015-01-12 11:58:09+00:00,submission_ideal_data11.zip,False
igor.chikalov,0.8253 (3),0.8100 (14),0.9483 (17),0.8621 (7),0.6010 (5),2.99 (376),9.20 (12),digits: recalculate split weight on OOB samples,2015-01-12 14:21:54+00:00,submission_ideal_data12.zip,False
ideal.intel.analytics,0.8210 (20),0.8100 (14),0.9621 (5),0.8613 (8),0.5941 (6),3.01 (330),10.60 (13),+Dynamic Feature Selection,2015-01-13 17:05:38+00:00,submission_ideal_data_17.zip,False
